Operator,Recipe Name,Product,Process,Layer,Side,Lot,MeasTime,Obj,Unit,Meas Type,X Pos,Y Pos,Z Pos,Status,T1_Thk(um),T2_Thk(um),T3_Thk(um),T4_Thk(um),T5_Thk(um),T1_TW(um),T2_TW(um),T3_TW(um),T4_TW(um),T5_TW(um),T1_MW(um),T2_MW(um),T3_MW(um),T4_MW(um),T5_MW(um),T1_BW(um),T2_BW(um),T3_BW(um),T4_BW(um),T5_BW(um),S1_TW(um),S2_TW(um),S3_TW(um),S4_TW(um),S5_TW(um),S1_MW(um),S2_MW(um),S3_MW(um),S4_MW(um),S5_MW(um),S1_BW(um),S2_BW(um),S3_BW(um),S4_BW(um),S5_BW(um),T1_Ra(um),T2_Ra(um),T3_Ra(um),T4_Ra(um),T5_Ra(um),T1_Rq(um),T2_Rq(um),T3_Rq(um),T4_Rq(um),T5_Rq(um),T1_Rt(um),T2_Rt(um),T3_Rt(um),T4_Rt(um),T5_Rt(um),T1_Rp(um),T2_Rp(um),T3_Rp(um),T4_Rp(um),T5_Rp(um),T1_Rv(um),T2_Rv(um),T3_Rv(um),T4_Rv(um),T5_Rv(um),T1_Rz(um),T2_Rz(um),T3_Rz(um),T4_Rz(um),T5_Rz(um),S1_Ra(um),S2_Ra(um),S3_Ra(um),S4_Ra(um),S5_Ra(um),S1_Rq(um),S2_Rq(um),S3_Rq(um),S4_Rq(um),S5_Rq(um),S1_Rt(um),S2_Rt(um),S3_Rt(um),S4_Rt(um),S5_Rt(um),S1_Rp(um),S2_Rp(um),S3_Rp(um),S4_Rp(um),S5_Rp(um),S1_Rv(um),S2_Rv(um),S3_Rv(um),S4_Rv(um),S5_Rv(um),S1_Rz(um),S2_Rz(um),S3_Rz(um),S4_Rz(um),S5_Rz(um),T1_MW_Core(um),T2_MW_Core(um),T3_MW_Core(um),T4_MW_Core(um),T5_MW_Core(um),
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Misch-d_1_FR,2016-05-24 10:57:14,1,1,TRACE1,432.305,274.923,-22.233,-,16.1543,16.3867,16.4300,16.3960,,28.9029,28.9604,29.6663,30.4055,,31.0368,30.9758,31.8286,32.5742,,33.4000,33.3978,34.5652,35.2825,,,57.1102,57.0871,57.6416,,,55.1087,54.9824,55.5778,,,52.7811,52.4019,52.8968,,0.3686,0.3619,0.4104,0.3706,,0.4612,0.4469,0.5119,0.4598,,3.0895,3.4391,3.5595,3.1159,,1.5384,1.6441,1.8470,1.5154,,1.5510,1.7949,1.7125,1.6005,,2.8609,2.7139,3.1061,2.7740,,0.6388,0.6247,0.6858,0.7112,0.8784,0.7946,0.8032,0.8709,0.8915,1.1042,5.8324,6.0424,6.1806,6.5558,7.1340,2.7177,2.5415,2.8855,3.0081,3.2853,3.1147,3.5008,3.2951,3.5476,3.8487,5.0433,5.4256,5.5693,5.9322,6.4223,31.1515,31.1791,32.1157,32.8440,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Misch-d_1_FR,2016-05-24 10:57:36,1,1,TRACE2,432.194,271.778,-22.234,-,16.3618,16.6319,16.7429,16.5938,,33.3546,34.0064,31.9418,31.8285,,34.8475,35.5632,33.5773,33.3722,,36.3098,37.2707,35.2635,34.9371,,,66.4911,68.5213,68.7816,,,64.8936,66.9497,67.2297,,,63.2084,65.3492,65.6641,,0.4230,0.3885,0.4312,0.3956,,0.5291,0.4771,0.5335,0.5003,,3.5187,3.2001,3.7107,3.4371,,1.6417,1.6542,1.8163,1.6746,,1.8770,1.5459,1.8945,1.7625,,3.1801,2.8152,3.1487,2.9919,,0.6769,0.7158,0.6794,0.7491,0.8093,0.8532,0.8946,0.8596,0.9259,1.0186,6.2345,6.0168,6.1456,6.4081,6.4501,3.2758,2.7760,2.7849,2.9742,3.1308,2.9587,3.2408,3.3607,3.4339,3.3194,5.4518,5.4667,5.5860,5.7060,5.9748,34.8322,35.6386,33.6026,33.3828,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Misch-d_1_FR,2016-05-24 10:57:57,1,1,TRACE3,438.247,272.162,-22.233,-,16.3393,16.6861,16.5645,16.2952,,30.8883,31.0440,30.3080,30.3898,,32.4542,32.6200,31.8176,31.8757,,34.1319,34.3470,33.4073,33.4215,,,69.2201,68.4984,71.0410,,,67.7318,66.9214,69.5728,,,66.0001,65.2752,67.9456,,0.4235,0.4038,0.3739,0.3925,,0.5206,0.4997,0.4716,0.4859,,3.6256,3.0562,3.8157,3.6481,,1.8090,1.4243,1.5945,1.8515,,1.8166,1.6320,2.2213,1.7966,,3.1196,2.9007,3.2058,3.1086,,0.7661,0.8321,0.8131,0.7976,0.7502,0.9554,1.0519,1.0145,0.9928,0.9521,6.9534,6.8806,6.1450,6.2778,6.5706,3.3561,3.4242,3.0494,2.9426,3.1582,3.5972,3.4564,3.0956,3.3352,3.4123,6.0634,6.3190,5.9963,6.0399,5.9420,32.5101,32.6955,31.8576,31.9056,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Misch-d_1_FR,2016-05-24 10:58:18,1,1,TRACE4,441.905,272.358,-22.234,-,16.5221,16.4104,16.1107,16.6114,,32.5385,31.8036,31.3042,30.0560,,34.1904,33.6020,33.0084,31.6768,,35.8962,35.2612,34.7114,33.2966,,,68.5667,68.9766,70.0918,,,66.8666,67.2300,68.4416,,,65.1015,65.4975,66.9046,,0.3653,0.3923,0.3862,0.4087,,0.4515,0.4875,0.4809,0.5038,,3.0996,3.6160,3.4361,3.6886,,1.4604,1.7484,1.4818,1.8181,,1.6392,1.8676,1.9543,1.8706,,2.7774,3.1021,2.9916,2.9993,,0.6309,0.6323,0.6640,0.7290,0.7282,0.8022,0.8003,0.8322,0.9162,0.8968,5.6590,5.8356,6.1131,6.5404,6.0129,2.8361,2.7360,3.0070,3.0786,2.8028,2.8229,3.0997,3.1061,3.4618,3.2101,5.2176,5.2481,5.6016,5.9742,5.6390,34.2173,33.5324,33.0078,31.6763,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Misch-d_1_FR,2016-05-24 10:58:40,1,1,TRACE5,432.178,262.089,-22.223,-,16.3077,16.6038,16.5737,16.5290,,41.1591,41.7192,43.3606,42.5109,,43.2730,43.8936,45.6059,44.7976,,45.2213,45.9763,47.5907,46.8816,,,83.1486,81.9528,83.5419,,,81.0030,79.7631,81.2967,,,78.9895,77.7764,79.2124,,0.4580,0.4131,0.4270,0.4650,,0.5691,0.5102,0.5321,0.5736,,4.3051,3.9140,4.1047,3.8819,,2.0918,1.8883,2.2865,1.9003,,2.2133,2.0257,1.8182,1.9816,,3.6710,3.3520,3.4251,3.5186,,0.6936,0.6437,0.7111,0.7337,0.6639,0.8660,0.8068,0.8855,0.9141,0.8531,5.7948,6.1256,6.0353,6.9822,5.8346,2.9078,2.8146,2.7931,3.4830,2.7743,2.8870,3.3110,3.2421,3.4992,3.0604,4.9879,5.3469,5.5209,5.9980,5.1106,43.1902,43.8478,45.4756,44.6963,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Misch-d_1_FR,2016-05-24 10:59:01,1,1,TRACE6,432.545,262.215,-22.223,-,15.9752,16.3052,16.3807,16.1140,,42.7322,41.8822,42.0816,43.8359,,44.8019,44.1259,44.0531,46.0478,,46.7377,46.0304,45.9422,47.9785,,,82.7553,82.5134,81.8976,,,80.5787,80.3756,79.8097,,,78.6486,78.4710,77.8861,,0.4086,0.4170,0.4431,0.3879,,0.5079,0.5136,0.5388,0.4821,,3.7562,3.8995,3.6714,3.7857,,1.7691,1.7702,1.8699,1.7790,,1.9871,2.1294,1.8015,2.0067,,3.2347,3.3046,3.2422,3.1660,,0.7294,0.7061,0.6996,0.6696,0.7636,0.9084,0.8868,0.8763,0.8433,0.9373,5.8345,6.3260,6.5244,5.8344,6.6103,2.9636,2.9472,3.2262,2.7797,3.0242,2.8710,3.3788,3.2982,3.0547,3.5861,5.2151,5.8788,5.8434,5.4214,5.8172,44.7349,43.9563,44.0119,45.9072,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Misch-d_1_FR,2016-05-24 10:59:22,1,1,TRACE7,438.269,259.433,-22.221,-,16.3243,16.6636,16.6456,16.1313,,55.9527,55.5639,56.4115,56.8804,,57.8073,57.5169,58.3717,58.8510,,60.1213,60.2237,61.1990,61.1545,,,94.4166,94.8987,93.2571,,,92.5345,92.9230,91.3165,,,90.0114,90.0707,88.7726,,0.5154,0.4376,0.4765,0.4624,,0.6385,0.5459,0.5830,0.5739,,4.3530,4.2115,4.0541,4.0028,,2.2496,2.1944,2.1378,2.0675,,2.1034,2.0171,1.9163,1.9353,,3.6939,3.4510,3.5343,3.5042,,0.7240,0.5848,0.5398,0.5706,0.6359,0.8889,0.7379,0.6781,0.7142,0.8029,5.7238,5.3912,5.2428,6.1511,6.1662,2.8400,2.6103,2.5874,3.0759,3.2771,2.8838,2.7809,2.6553,3.0751,2.8891,5.3780,4.6907,4.6738,5.1142,5.4353,58.0370,57.8938,58.8052,59.0175,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Misch-d_1_FR,2016-05-24 10:59:44,1,1,TRACE8,441.935,259.642,-22.221,-,16.5553,16.2504,16.0759,16.3235,,55.4044,56.9521,54.5158,57.9457,,57.2013,58.7607,56.3866,59.8205,,59.4071,60.9918,58.8216,62.2604,,,95.6220,95.5784,93.7297,,,93.8335,93.7251,91.8985,,,91.6092,91.4522,89.5026,,0.4033,0.4359,0.4554,0.4272,,0.5105,0.5402,0.5746,0.5305,,4.4092,3.3895,3.9450,3.4071,,2.4889,1.6705,1.8841,1.7120,,1.9204,1.7191,2.0609,1.6951,,3.8011,3.2125,3.5923,3.2102,,0.5360,0.5325,0.5172,0.5414,0.5866,0.6815,0.6681,0.6509,0.6772,0.7398,4.5251,4.4094,4.2882,4.7658,4.7333,2.2941,2.1664,2.1237,2.3376,2.3561,2.2310,2.2430,2.1645,2.4281,2.3772,4.3266,4.2597,4.1287,4.4890,4.6486,57.4057,58.9719,56.6687,60.1031,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Misch-d_1_FR,2016-05-24 11:00:05,1,1,TRACE9,375.290,275.028,-22.231,-,16.2451,16.3132,16.4262,16.5117,,32.2178,33.0240,33.1447,34.3017,,35.0416,36.0615,35.9229,37.0082,,38.1936,39.3062,39.0980,40.3592,,,53.1942,52.8796,54.6398,,,50.3604,49.9830,51.8409,,,47.1192,46.6794,48.5470,,0.3884,0.3672,0.3765,0.3469,,0.4849,0.4615,0.4688,0.4280,,3.9846,3.4714,3.1455,3.0968,,1.7429,1.5701,1.5824,1.5742,,2.2417,1.9014,1.5631,1.5227,,3.0582,2.9717,2.8981,2.7036,,0.7009,0.6388,0.6350,0.6291,0.8216,0.8813,0.8044,0.7983,0.7989,1.0447,6.0606,5.6927,5.4980,5.7833,7.7428,2.6404,2.6860,2.5723,2.9218,3.5437,3.4202,3.0066,2.9258,2.8615,4.1991,5.3943,5.0948,5.0244,5.2835,6.6161,35.2057,36.1651,36.1213,37.3305,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Misch-d_1_FR,2016-05-24 11:00:26,1,1,TRACE10,375.703,271.477,-22.234,-,16.5016,16.6871,16.6871,16.6520,,36.6285,38.8000,36.6991,34.6436,,39.2008,41.3188,39.2679,36.6453,,41.8293,44.0471,41.8867,38.8499,,,62.6428,62.6812,61.3254,,,60.2106,60.1528,58.7787,,,57.6426,57.5021,56.2502,,0.3943,0.3606,0.3983,0.4612,,0.4915,0.4511,0.4977,0.5608,,3.2442,3.1107,3.7813,3.5645,,1.5243,1.5029,2.0395,1.8264,,1.7199,1.6079,1.7418,1.7381,,2.9380,2.7854,3.2523,3.1407,,0.7951,0.7474,0.7207,0.6359,0.7250,1.0105,0.9171,0.9067,0.8035,0.9052,6.9481,6.0115,6.7549,5.5152,5.8661,3.2230,2.9430,2.9864,2.8002,2.9618,3.7251,3.0685,3.7685,2.7151,2.9043,6.3675,5.4536,6.0175,5.1476,5.4869,39.2289,41.4236,39.2929,36.7467,,
