Operator,Recipe Name,Product,Process,Layer,Side,Lot,MeasTime,Obj,Unit,Meas Type,X Pos,Y Pos,Z Pos,Status,T1_Thk(um),T2_Thk(um),T3_Thk(um),T4_Thk(um),T5_Thk(um),T1_TW(um),T2_TW(um),T3_TW(um),T4_TW(um),T5_TW(um),T1_MW(um),T2_MW(um),T3_MW(um),T4_MW(um),T5_MW(um),T1_BW(um),T2_BW(um),T3_BW(um),T4_BW(um),T5_BW(um),S1_TW(um),S2_TW(um),S3_TW(um),S4_TW(um),S5_TW(um),S1_MW(um),S2_MW(um),S3_MW(um),S4_MW(um),S5_MW(um),S1_BW(um),S2_BW(um),S3_BW(um),S4_BW(um),S5_BW(um),T1_Ra(um),T2_Ra(um),T3_Ra(um),T4_Ra(um),T5_Ra(um),T1_Rq(um),T2_Rq(um),T3_Rq(um),T4_Rq(um),T5_Rq(um),T1_Rt(um),T2_Rt(um),T3_Rt(um),T4_Rt(um),T5_Rt(um),T1_Rp(um),T2_Rp(um),T3_Rp(um),T4_Rp(um),T5_Rp(um),T1_Rv(um),T2_Rv(um),T3_Rv(um),T4_Rv(um),T5_Rv(um),T1_Rz(um),T2_Rz(um),T3_Rz(um),T4_Rz(um),T5_Rz(um),S1_Ra(um),S2_Ra(um),S3_Ra(um),S4_Ra(um),S5_Ra(um),S1_Rq(um),S2_Rq(um),S3_Rq(um),S4_Rq(um),S5_Rq(um),S1_Rt(um),S2_Rt(um),S3_Rt(um),S4_Rt(um),S5_Rt(um),S1_Rp(um),S2_Rp(um),S3_Rp(um),S4_Rp(um),S5_Rp(um),S1_Rv(um),S2_Rv(um),S3_Rv(um),S4_Rv(um),S5_Rv(um),S1_Rz(um),S2_Rz(um),S3_Rz(um),S4_Rz(um),S5_Rz(um),T1_MW_Core(um),T2_MW_Core(um),T3_MW_Core(um),T4_MW_Core(um),T5_MW_Core(um),
Eichberger,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Misch-d_4_BA,2016-05-24 14:35:52,1,1,TRACE1,474.685,272.176,-22.232,-,16.9638,16.9850,16.5583,16.9009,,43.7969,42.2131,43.7014,44.0414,,46.0839,44.7456,46.0384,46.4425,,48.1441,46.9730,48.2699,48.5783,,,56.3899,56.8010,56.3678,,,53.9247,54.3505,54.0655,,,51.7124,52.0713,51.9643,,0.3796,0.4085,0.3839,0.3826,,0.4737,0.5070,0.4774,0.4792,,2.9366,3.1253,3.2256,3.1796,,1.4521,1.5735,1.6016,1.4953,,1.4845,1.5519,1.6241,1.6843,,2.8521,2.9308,2.8736,2.9554,,0.9468,0.9134,0.7760,0.7415,0.8508,1.1671,1.1334,0.9799,0.9317,1.0772,6.8249,7.1849,6.7548,6.0976,7.4855,3.1348,3.5023,3.3637,3.0035,3.7568,3.6901,3.6826,3.3911,3.0941,3.7287,6.3591,6.5434,5.8878,5.7774,7.1200,45.9705,44.5930,45.9856,46.3099,,
Eichberger,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Misch-d_4_BA,2016-05-24 14:36:13,1,1,TRACE2,474.507,268.613,-22.235,-,16.1131,16.4603,16.7071,16.5051,,43.9512,43.2727,44.4235,44.4862,,46.2492,45.5674,46.6428,46.7908,,48.1053,47.6587,48.5316,48.6820,,,56.4794,56.2806,55.8389,,,54.1510,54.1095,53.5842,,,52.1706,52.1955,51.6794,,0.4356,0.4734,0.3857,0.4022,,0.5348,0.5831,0.4756,0.4976,,3.2440,3.7332,3.0060,3.1970,,1.6568,1.8249,1.4484,1.5153,,1.5872,1.9082,1.5577,1.6817,,3.0919,3.3598,2.7610,2.8882,,0.7521,0.6733,0.7044,0.6969,0.7818,0.9663,0.8568,0.8959,0.8798,0.9822,6.8267,6.5970,6.3054,6.0275,6.6930,3.2870,3.3395,3.0357,3.0162,3.2710,3.5397,3.2575,3.2696,3.0112,3.4220,6.4510,5.8726,5.8450,5.4187,6.0752,46.0282,45.4657,46.4776,46.5841,,
Eichberger,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Misch-d_4_BA,2016-05-24 14:36:35,1,1,TRACE3,469.088,272.216,-22.233,-,16.6046,16.5805,16.6328,16.6592,,40.0897,41.4138,39.9977,42.0200,,42.6032,43.6764,42.4455,44.3536,,45.1106,46.0397,44.8565,46.7132,,,59.6792,59.5976,58.3409,,,57.2169,57.3349,56.0457,,,54.8171,54.8720,53.8088,,0.4460,0.3947,0.4497,0.4551,,0.5438,0.4906,0.5554,0.5649,,3.4991,3.2427,3.9224,3.8305,,1.6849,1.5296,1.8746,1.7591,,1.8143,1.7131,2.0478,2.0714,,3.2099,3.0229,3.3571,3.4664,,0.7293,0.6659,0.7527,0.8296,0.7378,0.9381,0.8309,0.9472,1.0361,0.9276,7.1494,5.6627,6.4446,6.6811,6.4848,3.6390,2.7319,3.1211,3.2859,3.2857,3.5104,2.9308,3.3236,3.3952,3.1991,6.1727,5.3005,5.9579,6.2711,5.7889,42.6001,43.7268,42.4271,44.3666,,
Eichberger,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Misch-d_4_BA,2016-05-24 14:36:56,1,1,TRACE4,465.535,272.479,-22.235,-,16.5068,15.9095,16.1711,16.5525,,41.0855,42.1807,41.2217,41.8337,,43.2835,44.5151,43.3224,44.1589,,45.3238,46.6854,45.2328,46.2857,,,58.6458,59.0318,58.7384,,,56.3958,56.7556,56.4394,,,54.2882,54.7436,54.3373,,0.4053,0.3749,0.4786,0.5048,,0.5024,0.4715,0.5948,0.6219,,3.6297,3.0774,3.9152,3.8045,,1.7990,1.5487,1.9337,1.9027,,1.8308,1.5287,1.9815,1.9018,,3.1474,2.9045,3.4964,3.5742,,0.8052,0.6853,0.7366,0.7786,0.8029,1.0100,0.8453,0.9142,0.9619,1.0068,7.4071,5.2417,5.8594,6.0573,6.7366,3.7015,2.5856,2.8748,2.8888,3.2759,3.7056,2.6561,2.9846,3.1686,3.4607,6.7330,5.1024,5.6073,5.6919,5.9695,43.2047,44.4330,43.2273,44.0597,,
Eichberger,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Misch-d_4_BA,2016-05-24 14:37:18,1,1,TRACE5,474.409,259.487,-22.230,-,16.3547,16.0260,15.7172,16.4580,,67.3367,67.5207,68.2513,68.6186,,69.4410,69.5623,70.3824,70.7565,,72.0534,72.0914,73.3822,74.5471,,,81.9344,81.8264,81.5066,,,79.8864,79.6874,79.4137,,,77.4746,76.8263,76.2760,,0.3846,0.4655,0.4023,0.4970,,0.4739,0.5761,0.4990,0.6113,,2.9184,3.6003,3.2830,3.8612,,1.4380,1.7348,1.7322,1.9562,,1.4803,1.8655,1.5508,1.9050,,2.8107,3.4177,3.0433,3.5527,,1.3193,0.8496,1.1821,2.0060,2.0068,1.7433,1.1529,1.5887,2.6020,2.5856,12.6515,9.0151,11.6983,19.0302,19.3091,6.4945,4.6653,6.1424,11.0732,10.2229,6.1569,4.3498,5.5559,7.9569,9.0862,11.2178,8.5636,10.5299,17.0704,17.1511,69.6950,69.8060,70.8168,71.5829,,
Eichberger,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Misch-d_4_BA,2016-05-24 14:37:39,1,1,TRACE6,473.165,255.831,-22.228,-,16.1280,16.6829,16.6949,16.2252,,68.0104,68.2953,68.1399,70.0408,,70.3391,70.3345,70.1562,72.4140,,73.2106,73.2271,73.5595,76.2835,,,82.8320,81.6500,81.8326,,,80.6937,79.7143,79.5771,,,77.9988,76.7664,76.1929,45.3235,0.4701,0.4139,0.4095,0.4510,,0.5879,0.5067,0.5034,0.5532,,3.5574,3.1915,3.1029,3.4897,,1.7226,1.5419,1.4400,1.7094,,1.8348,1.6496,1.6629,1.7803,,3.4194,2.9523,2.9550,3.2242,,1.3201,0.8033,0.9902,1.5216,2.4877,1.7020,1.0612,1.3280,1.9816,3.1645,12.5253,8.5875,10.8708,14.2860,21.7921,5.9593,4.3450,5.8900,7.8239,13.6032,6.5659,4.2425,4.9808,6.4622,8.1889,11.0415,7.8793,9.4059,12.9373,18.3185,70.6105,70.7612,70.8497,73.1622,,
Eichberger,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Misch-d_4_BA,2016-05-24 14:38:01,1,1,TRACE7,469.121,259.216,-22.229,-,16.4338,16.5775,16.5920,16.1136,,65.5523,66.8091,67.4659,64.8635,,67.6616,68.9104,69.5888,67.2311,,70.1774,72.0008,72.4371,70.1360,,,83.0402,83.0499,83.1667,,,80.9862,80.8968,80.9523,,,78.3831,77.8761,78.0600,,0.4430,0.4196,0.4202,0.4231,,0.5493,0.5180,0.5215,0.5222,,3.8328,4.5287,3.8737,3.4867,,1.7694,2.1357,1.7136,1.7147,,2.0634,2.3930,2.1600,1.7720,,3.3484,3.2695,3.2812,3.2073,,0.9490,0.7261,1.0124,1.4033,2.0449,1.2474,0.9646,1.3817,1.8779,2.6718,11.1564,11.1303,13.8229,15.2570,20.1403,5.7244,5.8792,7.1330,9.0264,11.2659,5.4320,5.2512,6.6899,6.2306,8.8745,9.3577,9.2029,11.5217,13.4273,17.4754,67.8649,69.4050,69.9515,67.4998,,
Eichberger,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Misch-d_4_BA,2016-05-24 14:38:23,1,1,TRACE8,465.459,259.451,-22.232,-,16.6910,16.6254,16.9160,16.7057,,65.4068,65.1532,66.0937,67.0741,,67.5058,67.3267,68.1400,69.1991,,69.7924,69.9723,71.2822,72.3198,,,84.7240,84.6383,82.6830,,,82.5575,82.4954,80.6997,,,80.2446,79.4032,77.9095,,0.5272,0.5391,0.5073,0.4870,,0.6526,0.6553,0.6185,0.6089,,3.9865,4.1703,4.0173,4.0558,,1.9714,2.0383,1.9489,1.9685,,2.0151,2.1320,2.0684,2.0873,,3.6296,3.6015,3.4390,3.6527,,0.9443,0.8039,1.0923,1.4110,2.3002,1.2549,1.0273,1.4169,1.8594,2.9652,9.3486,9.2614,10.8716,13.1124,20.5076,4.8183,4.6943,6.5742,7.9532,11.4097,4.5302,4.5672,4.2974,5.1592,9.0979,8.8907,7.7385,9.8993,12.1971,17.3318,67.5996,67.5627,68.6880,69.6969,,
Eichberger,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Misch-d_4_BA,2016-05-24 14:38:44,1,1,TRACE9,474.547,272.172,-22.232,-,16.9490,16.9802,16.5728,16.6137,,43.6633,42.4121,43.8835,43.6409,,46.1360,44.8730,46.2617,46.2425,,48.2313,47.0580,48.4096,48.4207,,,56.1993,56.7012,56.3932,,,53.6973,54.2683,53.9187,,,51.4480,52.0649,51.8897,,0.3888,0.4066,0.4159,0.3708,,0.4855,0.5006,0.5158,0.4643,,2.9635,3.1363,3.4482,2.8940,,1.4529,1.5195,1.6374,1.4143,,1.5106,1.6168,1.8108,1.4797,,2.8534,2.9294,3.1249,2.7864,,1.0233,0.9854,0.7576,0.7094,0.7407,1.2405,1.2027,0.9668,0.8881,0.9395,7.6406,7.4844,6.4867,5.8727,6.8559,3.3913,3.6657,3.1744,2.9176,3.4232,4.2493,3.8187,3.3123,2.9551,3.4327,6.5368,6.6771,5.8662,5.4773,5.9495,45.9473,44.7351,46.1465,46.0308,,
Eichberger,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Misch-d_4_BA,2016-05-24 14:39:05,1,1,TRACE10,472.491,268.616,-22.233,-,16.4332,16.6034,16.6670,16.4920,,42.8919,42.9979,43.5293,44.2182,,45.0726,45.3116,45.7169,46.3729,,47.0301,47.2521,47.7384,48.3986,,,57.7632,55.9643,56.8429,,,55.5079,53.8314,54.6143,,,53.5039,52.0027,52.5560,,0.4121,0.4450,0.3973,0.3740,,0.5147,0.5473,0.4919,0.4631,,3.9787,3.6693,3.3078,3.3703,,1.8569,1.6271,1.6288,1.6338,,2.1218,2.0422,1.6790,1.7365,,3.3775,3.2087,3.0667,2.9724,,0.7687,0.7246,0.7670,0.8103,0.8207,0.9714,0.9031,0.9565,1.0178,1.0376,7.3641,6.1870,6.4065,6.7104,7.6206,3.4979,3.0187,3.0767,3.1648,3.8368,3.8662,3.1682,3.3298,3.5455,3.7838,6.8007,5.6993,5.9091,6.2345,6.7537,44.9610,45.1250,45.6339,46.3084,,
